"","YEAR","state_name","staterate_year","time_since_legalization","state_pop","time_leg_chunked"
"279",2006,"MN",0.0181377231806771,NA,5163555,NA
"280",2006,"MO",0.0219376110639941,NA,5842704,NA
"281",2006,"MS",0.00276123484872329,NA,2904978,NA
"282",2006,"MT",0.00239204941300366,NA,952692,NA
"283",2006,"NC",0.0265685915065233,NA,891727,NA
"284",2006,"ND",0.00077920244036677,NA,649422,NA
"285",2006,"NE",0.00284204732889233,NA,1772693,NA
"286",2006,"NH",0.00566878281943685,NA,1308389,NA
"287",2006,"NJ",0.030814224017299,NA,8661679,NA
"288",2006,"NM",0.00677633912659573,NA,1962137,NA
"289",2006,"NV",0.00752576854795285,NA,2522658,NA
"290",2006,"NY",0.067951386614561,NA,19104631,NA
"291",2006,"OH",0.0378006755923342,NA,11481213,NA
"292",2006,"OK",0.00897613990256567,NA,359409,NA
"293",2006,"OR",0.0196638030693431,NA,3670883,NA
"294",2006,"PA",0.0387312951008072,NA,12510809,NA
"295",2006,"RI",0.00379563459488704,NA,1063096,NA
"296",2006,"SC",0.0113018380160621,NA,4357847,NA
"297",2006,"SD",0.00236057507862204,NA,783033,NA
"298",2006,"TN",0.017140752372697,NA,6088766,NA
"299",2006,"TX",0.0663734166070497,NA,2335958,NA
"300",2006,"UT",0.00894551622587003,NA,2525507,NA
"301",2006,"VA",0.0237384533852348,NA,7673725,NA
"302",2006,"VT",0.00455442125079005,NA,622892,NA
"303",2006,"WA",0.027095999271837,NA,6370753,NA
"304",2006,"WI",0.0192725005337877,NA,5577655,NA
"305",2006,"WV",0.00381775169472277,NA,1827912,NA
"306",2006,"WY",0.00169280879511995,NA,522667,NA
"307",2007,"AK",0.00167239730981947,NA,6803,NA
"308",2007,"AL",0.00900138112727626,NA,467284,NA
"309",2007,"AR",0.00812319760266394,NA,284865,NA
"310",2007,"AZ",0.0242069014378943,NA,6167681,NA
"311",2007,"CA",0.144705226853873,NA,36250311,NA
"312",2007,"CO",0.023447675044106,NA,4803868,NA
"313",2007,"CT",0.0113018021130635,NA,352727,NA
"314",2007,"DC",0.00553238126810051,NA,574404,NA
"315",2007,"DE",0.00330106038036543,NA,871749,NA
"316",2007,"FL",0.0673769690247877,NA,18367842,NA
"317",2007,"GA",0.0315927397664067,NA,9349988,NA
"318",2007,"HI",0.00274825959594811,NA,1315675,NA
"319",2007,"IA",0.00840572078837089,NA,2999212,NA
"320",2007,"ID",0.00303340683601147,NA,1505105,NA
"321",2007,"IL",0.0395147598684124,NA,12695866,NA
"322",2007,"IN",0.0184663451908518,NA,6379599,NA
"323",2007,"KS",0.00757564492695945,NA,2783785,NA
"324",2007,"KY",0.00899613301856344,NA,4256672,NA
"325",2007,"LA",0.0113429122979806,NA,4375581,NA
"326",2007,"MA",0.0338931607521939,4,6431559,4
"327",2007,"MD",0.021153376851817,NA,5653408,NA
"328",2007,"ME",0.0299325880435838,NA,132704,NA
"329",2007,"MI",0.005059176799161,NA,10001284,NA
"330",2007,"MN",0.019704898847078,NA,5207203,NA
"331",2007,"MO",0.0164318283798476,NA,5887612,NA
"332",2007,"MS",0.00495771336404643,NA,292835,NA
"333",2007,"MT",0.00304477773822259,NA,964706,NA
"334",2007,"NC",0.0257935796387377,NA,9118037,NA
"335",2007,"ND",0.000613154034614776,NA,652822,NA
"336",2007,"NE",0.00413638435048969,NA,178344,NA
"337",2007,"NH",0.00524810871282262,NA,131254,NA
"338",2007,"NJ",0.0304687698170772,NA,8677885,NA
"339",2007,"NM",0.00826664590748109,NA,199007,NA
"340",2007,"NV",0.0094291019873713,NA,2601072,NA
"341",2007,"NY",0.0702940427843316,NA,19132335,NA
"342",2007,"OH",0.0343646158515625,NA,11500468,NA
"343",2007,"OK",0.00901100265991643,NA,3634349,NA
"344",2007,"OR",0.0178295746670294,NA,3722417,NA
"345",2007,"PA",0.037634187579651,NA,12563937,NA
"346",2007,"RI",0.00488861326599427,NA,1057315,NA
"347",2007,"SC",0.0118773447019031,NA,444411,NA
"348",2007,"SD",0.00220595502895644,NA,791623,NA
"349",2007,"TN",0.0178260759278875,NA,6175727,NA
"350",2007,"TX",0.0655427550296562,NA,23831983,NA
"351",2007,"UT",0.006079933943805,NA,2597746,NA
"352",2007,"VA",0.0242786255903029,NA,7751,NA
"353",2007,"VT",0.00173712398394429,NA,623481,NA
"354",2007,"WA",0.0285016037345542,NA,6461587,NA
"355",2007,"WI",0.0138856209693432,NA,5610775,NA
"356",2007,"WV",0.00432531626415131,NA,1834052,NA
"357",2007,"WY",0.00123942834101161,NA,534876,NA
"358",2008,"AK",0.00180438234060897,NA,687455,NA
"359",2008,"AL",0.00571701819929238,NA,4718206,NA
"360",2008,"AR",0.00502800797131833,NA,2874554,NA
"361",2008,"AZ",0.0221719957976265,NA,6280362,NA
"362",2008,"CA",0.156667970093423,NA,36604337,NA
"363",2008,"CO",0.0221578622544886,NA,488973,NA
"364",2008,"CT",0.0130558604736621,0,3545579,NA
"365",2008,"DC",0.00809263124172599,NA,580236,NA
"366",2008,"DE",0.00250752611172095,NA,883874,NA
"367",2008,"FL",0.0679034302109196,NA,18527305,NA
"368",2008,"GA",0.0331019358242918,NA,9504843,NA
"369",2008,"HI",0.00504685269550224,NA,1332213,NA
"370",2008,"IA",0.00541785820287288,NA,3016734,NA
"371",2008,"ID",0.00203640800712331,NA,153432,NA
"372",2008,"IL",0.041857665798239,NA,12747038,NA
"373",2008,"IN",0.0191179726845723,NA,6424806,NA
"374",2008,"KS",0.00455806766198218,NA,2808076,NA
"375",2008,"KY",0.00890648776741841,NA,4289878,NA
"376",2008,"LA",0.00730586400704793,NA,4435586,NA
"377",2008,"MA",0.0392370713414146,5,6468967,6
"378",2008,"MD",0.0160345046899807,NA,5684965,NA
"379",2008,"ME",0.0260964096089249,NA,1330509,NA
"380",2008,"MI",0.00997710366011655,NA,9946889,NA
"381",2008,"MN",0.0177199297091788,NA,5247018,NA
"382",2008,"MO",0.015682343906794,NA,5923916,NA
"383",2008,"MS",0.00293153240585882,NA,2947806,NA
"384",2008,"MT",0.00225076674471523,NA,976415,NA
"385",2008,"NC",0.0261176099236318,NA,9309449,NA
"386",2008,"ND",0.00094694739024126,NA,657569,NA
"387",2008,"NE",0.0028761760285686,NA,1796378,NA
"388",2008,"NH",0.00410343869104546,NA,1315906,NA
"389",2008,"NJ",0.0259998303974823,NA,871109,NA
"390",2008,"NM",0.00744248825738124,NA,2010662,NA
"391",2008,"NV",0.0102150183029384,NA,265363,NA
"392",2008,"NY",0.0861651457403857,NA,19212436,NA
"393",2008,"OH",0.0316450030858236,NA,11515391,NA
"394",2008,"OK",0.00863323926675178,NA,3668976,NA
"395",2008,"OR",0.0188824136322735,NA,3768748,NA
"396",2008,"PA",0.0327792199226424,NA,12612285,NA
"397",2008,"RI",0.00426833002765463,NA,1055003,NA
"398",2008,"SC",0.0108698724683291,NA,4528996,NA
"399",2008,"SD",0.00166540249975266,NA,799124,NA
"400",2008,"TN",0.0178365314400667,NA,6247411,NA
"401",2008,"TX",0.0641568634841068,NA,24309039,NA
"402",2008,"UT",0.00449682230838449,NA,2663029,NA
"403",2008,"VA",0.0225359345334282,NA,7833496,NA
"404",2008,"VT",0.00458633474825804,NA,624151,NA
"405",2008,"WA",0.0331066470053378,NA,6562231,NA
"406",2008,"WI",0.0142442558925097,NA,5640996,NA
"407",2008,"WV",0.00312704641926685,NA,184031,NA
"408",2008,"WY",0.000913969122919425,NA,546043,NA
"409",2009,"AK",0.00192267998325923,NA,698895,NA
"410",2009,"AL",0.00646481187728147,NA,4757938,NA
"411",2009,"AR",0.00648990022818996,NA,2896843,NA
"412",2009,"AZ",0.027168403274714,NA,6343154,NA
"413",2009,"CA",0.141992083484909,NA,36961229,NA
"414",2009,"CO",0.0227095190905245,NA,4972195,NA
"415",2009,"CT",0.0126068963315129,1,3561807,2
"416",2009,"DC",0.00841942248896968,0,592228,NA
"417",2009,"DE",0.00446914760047029,NA,89173,NA
"418",2009,"FL",0.0666734329188814,NA,18652644,NA
"419",2009,"GA",0.0349229844646089,NA,9620846,NA
"420",2009,"HI",0.00622761292323763,NA,1346717,NA
"421",2009,"IA",0.00608050395654698,0,303287,NA
"422",2009,"ID",0.00264568064125825,NA,1554439,NA
"423",2009,"IL",0.0398984606015958,NA,12796778,NA
